symbol,type,direction,strategy,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars_held,size,exit_reason,daily_z,h1_z,h1_atr,vol_percentile,session,hour_utc
GBPUSD,DAILY_SWING_LONG,LONG,SWING,2025-01-13 04:00:00+00:00,2025-01-13 22:00:00+00:00,1.2138131856918335,1.2234212160110474,0.007915575833638359,18,1.0,target,-2.446531938770435,-1.7638137921415098,0.0021153423675595133,30.0,OFF,4
GBPUSD,DAILY_SWING_LONG,LONG,SWING,2025-01-13 23:00:00+00:00,2025-01-14 09:00:00+00:00,1.2231967449188232,1.2180119752883911,-0.004238704568148776,10,1.0,stop,-2.446531938770435,2.14271180912695,0.0026211476921326874,65.0,OFF,23
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-02-17 00:00:00+00:00,2025-02-17 10:00:00+00:00,1.2586374282836914,1.2602711915969849,-0.0012980412600007425,10,1.0,stop,2.024621300429879,-0.0948782542496841,0.0010364576063437443,0.0,OFF,0
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-02-17 11:00:00+00:00,2025-02-17 17:00:00+00:00,1.260366439819336,1.262403130531311,-0.0016159512405511543,6,1.0,stop,2.024621300429879,0.7642485373173357,0.0007887743168238436,0.0,LONDON,11
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-02-17 18:00:00+00:00,2025-02-18 12:00:00+00:00,1.2627220153808594,1.2588592767715454,0.0030590569913750134,18,1.0,target,2.024621300429879,2.5674565769700632,0.0007994259737972096,10.0,OFF,18
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-02-18 13:00:00+00:00,2025-02-18 14:00:00+00:00,1.2592079639434814,1.2605730295181274,-0.0010840668211555768,1,1.0,stop,2.1011156427245687,-1.3822345136143366,0.00084344282124201,95.0,NY,13
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-02-18 15:00:00+00:00,2025-02-18 22:00:00+00:00,1.261702299118042,1.2634397745132446,-0.0013770882373894148,7,1.0,stop,2.1011156427245687,0.8416975603228098,0.0009657235397922709,100.0,NY,15
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-02-18 23:00:00+00:00,2025-02-19 16:00:00+00:00,1.2625147104263306,1.2572448253631592,0.004174117750589878,17,1.0,target,2.1011156427245687,1.7133108913915807,0.0010709196918206143,100.0,OFF,23
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-03-06 00:00:00+00:00,2025-03-07 08:00:00+00:00,1.2892411947250366,1.2922067642211914,-0.0023002441345254003,32,1.0,stop,2.2394141984581837,1.0065892217679382,0.0017840010955688561,50.0,OFF,0
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-04-03 00:00:00+01:00,2025-04-03 06:00:00+01:00,1.304648518562317,1.309088945388794,-0.003403542611898465,6,1.0,stop,2.331163784671445,2.3509329303711675,0.00278480425864357,100.0,OFF,0
GBPUSD,DAILY_SWING_SHORT,SHORT,SWING,2025-04-03 07:00:00+01:00,2025-04-03 10:00:00+01:00,1.311785101890564,1.3170545101165771,-0.004016975203041135,3,1.0,stop,2.331163784671445,2.0138189796758645,0.0033775438004468397,100.0,LONDON,7
