symbol,type,direction,strategy,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars_held,size,exit_reason,daily_z,h1_z,h1_atr,vol_percentile,session,hour_utc
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-04-10 14:00:00+00:00,2025-04-11 08:15:00+00:00,2.09075,2.108765,0.008616525170393454,13,0.6,timeout,0.6059561166337514,-2.3738607643018117,0.013876093490178192,100.0,NY,14
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-04-29 16:00:00+00:00,2025-04-30 22:00:00+00:00,2.097705,2.0804400000000003,0.008230423248264004,12,0.6,target,0.05408537954135539,2.8807197311007067,0.002864994951200728,50.0,NY,16
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-05-02 14:00:00+00:00,2025-05-05 02:00:00+00:00,2.062715,2.0559000000000003,-0.0033038980179033806,4,0.6,stop,-0.5193680383767428,-2.432768578171668,0.0025008325789950014,30.0,NY,14
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-05-27 10:00:00+00:00,2025-05-28 03:00:00+00:00,2.100885,2.09356,0.0034866258743338186,12,0.6,target,1.412987269596374,2.738159275982938,0.002912553746072362,90.0,LONDON,10
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-05-29 07:45:00+00:00,2025-05-29 08:15:00+00:00,2.08795,2.09028,0.0011159271055340026,2,0.6,target,1.1789903198342873,-2.08461177655785,0.0008921309148917545,20.0,LONDON,7
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-05-29 14:15:00+00:00,2025-05-29 14:45:00+00:00,2.09554,2.0926150000000003,0.001395821602069082,2,0.6,target,1.1789903198342873,2.717828653784597,0.0011422242401589462,100.0,NY,14
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-05-30 07:00:00+00:00,2025-05-30 10:15:00+00:00,2.099445,2.09809,0.0006454086675286913,13,0.6,timeout,1.357271441539335,2.1992157262457264,0.0019824652307250047,100.0,LONDON,7
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-05-30 14:00:00+00:00,2025-05-30 15:15:00+00:00,2.096985,2.0943750000000003,-0.001244644096166534,5,0.6,stop,1.357271441539335,-2.167027125479998,0.001649984443458981,100.0,NY,14
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-05-30 16:00:00+00:00,2025-05-30 19:15:00+00:00,2.092145,2.09101,-0.0005425054190795133,13,0.6,timeout,1.357271441539335,-2.043536280277297,0.002256110179137127,85.0,NY,16
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-06-02 10:15:00+00:00,2025-06-02 13:30:00+00:00,2.08769,2.08808,0.00018680934429936177,13,0.6,timeout,0.9554275246356102,-2.4514055276601665,0.0014858355543708685,60.0,LONDON,10
